#GO	N_DIS	TOT_DIS	PERC_DIS	N_NEU	TOT_NEU	PERC	NEU	LOG_ODDS	DESCRIPTION
GO:0019901	0	65	0.00	18	389	4.63	0.00	-32.11	(MF) protein kinase binding
GO:0046328	0	65	0.00	18	389	4.63	0.00	-32.11	(BP) regulation of JNK cascade
GO:0070302	0	65	0.00	18	389	4.63	0.00	-32.11	(BP) regulation of stress-activated protein kinase signaling cascade
GO:0005083	0	65	0.00	15	389	3.86	0.00	-31.84	(MF) small GTPase regulator activity
GO:0043506	0	65	0.00	15	389	3.86	0.00	-31.84	(BP) regulation of JUN kinase activity
GO:0008134	0	65	0.00	14	389	3.60	0.00	-31.74	(MF) transcription factor binding
GO:0043507	0	65	0.00	14	389	3.60	0.00	-31.74	(BP) positive regulation of JUN kinase activity
GO:0005794	0	65	0.00	12	389	3.08	0.00	-31.52	(CC) Golgi apparatus
GO:0007257	0	65	0.00	12	389	3.08	0.00	-31.52	(BP) activation of JUN kinase activity
GO:0051098	0	65	0.00	12	389	3.08	0.00	-31.52	(BP) regulation of binding
GO:0030528	0	65	0.00	10	389	2.57	0.00	-31.26	(MF) transcription regulator activity
GO:0051090	0	65	0.00	10	389	2.57	0.00	-31.26	(BP) regulation of transcription factor activity
GO:0051101	0	65	0.00	10	389	2.57	0.00	-31.26	(BP) regulation of DNA binding
GO:0090046	0	65	0.00	10	389	2.57	0.00	-31.26	(BP) regulation of transcription regulator activity
GO:0004707	0	65	0.00	9	389	2.31	0.00	-31.11	(MF) MAP kinase activity
GO:0019207	0	65	0.00	9	389	2.31	0.00	-31.11	(MF) kinase regulator activity
GO:0019887	0	65	0.00	9	389	2.31	0.00	-31.11	(MF) protein kinase regulator activity
GO:0004857	0	65	0.00	8	389	2.06	0.00	-30.94	(MF) enzyme inhibitor activity
GO:0007276	0	65	0.00	8	389	2.06	0.00	-30.94	(BP) gamete generation
GO:0009615	0	65	0.00	8	389	2.06	0.00	-30.94	(BP) response to virus
GO:0031098	0	65	0.00	8	389	2.06	0.00	-30.94	(BP) stress-activated protein kinase signaling cascade
GO:0048609	0	65	0.00	8	389	2.06	0.00	-30.94	(BP) multicellular organismal reproductive process
GO:0051099	0	65	0.00	8	389	2.06	0.00	-30.94	(BP) positive regulation of binding
GO:0051707	0	65	0.00	8	389	2.06	0.00	-30.94	(BP) response to other organism
GO:0003712	0	65	0.00	7	389	1.80	0.00	-30.74	(MF) transcription cofactor activity
GO:0004690	0	65	0.00	7	389	1.80	0.00	-30.74	(MF) cyclic nucleotide-dependent protein kinase activity
GO:0005730	0	65	0.00	7	389	1.80	0.00	-30.74	(CC) nucleolus
GO:0007254	0	65	0.00	7	389	1.80	0.00	-30.74	(BP) JNK cascade
GO:0007283	0	65	0.00	7	389	1.80	0.00	-30.74	(BP) spermatogenesis
GO:0016563	0	65	0.00	7	389	1.80	0.00	-30.74	(MF) transcription activator activity
GO:0043388	0	65	0.00	7	389	1.80	0.00	-30.74	(BP) positive regulation of DNA binding
GO:0048232	0	65	0.00	7	389	1.80	0.00	-30.74	(BP) male gamete generation
GO:0051091	0	65	0.00	7	389	1.80	0.00	-30.74	(BP) positive regulation of transcription factor activity
GO:0090047	0	65	0.00	7	389	1.80	0.00	-30.74	(BP) positive regulation of transcription regulator activity
GO:0002253	0	65	0.00	6	389	1.54	0.00	-30.52	(BP) activation of immune response
GO:0002757	0	65	0.00	6	389	1.54	0.00	-30.52	(BP) immune response-activating signal transduction
GO:0002764	0	65	0.00	6	389	1.54	0.00	-30.52	(BP) immune response-regulating signaling pathway
GO:0004860	0	65	0.00	6	389	1.54	0.00	-30.52	(MF) protein kinase inhibitor activity
GO:0005813	0	65	0.00	6	389	1.54	0.00	-30.52	(CC) centrosome
GO:0007249	0	65	0.00	6	389	1.54	0.00	-30.52	(BP) I-kappaB kinase/NF-kappaB cascade
GO:0016788	0	65	0.00	6	389	1.54	0.00	-30.52	(MF) hydrolase activity, acting on ester bonds
GO:0019210	0	65	0.00	6	389	1.54	0.00	-30.52	(MF) kinase inhibitor activity
GO:0034097	0	65	0.00	6	389	1.54	0.00	-30.52	(BP) response to cytokine stimulus
GO:0044431	0	65	0.00	6	389	1.54	0.00	-30.52	(CC) Golgi apparatus part
GO:0048585	0	65	0.00	6	389	1.54	0.00	-30.52	(BP) negative regulation of response to stimulus
