accession	sumgolor	sumgolor_mf	sumgolor_bp	sumgolor_cc
Q02750	1191.0366	130.5645	993.4099	67.0622
P21802	1000.4280	38.4944	934.3109	27.6227
Q15303	808.3574	13.6015	778.8755	15.8803
O14936	752.7153	233.3994	281.5549	237.7610
P11362	720.1470	38.4944	661.0426	20.6100
O14874	687.5430	56.0710	399.1165	232.3554
Q15831	607.0242	5.2290	537.9688	63.8264
P36507	565.1347	11.3301	243.4124	310.3922
P37023	559.0423	49.0256	492.5871	17.4297
P37173	550.6812	55.1856	461.5007	33.9949
P10721	543.0414	25.2607	478.5620	39.2186
P22607	529.0176	22.3040	469.8859	36.8278
P07949	510.2160	13.4902	473.4669	23.2589
P36897	470.0479	49.6787	394.9358	25.4335
P36894	439.4944	29.3714	395.8278	14.2953
P06213	434.1734	62.4026	335.9850	35.7858
Q04771	419.8413	63.1741	333.8066	22.8606
Q06187	408.6379	23.5822	353.6575	31.3981
P31749	390.1024	19.5146	372.4150	-1.8272
Q13873	389.7682	25.6798	333.5368	30.5516
P09619	363.3305	16.1042	329.9683	17.2580
P04629	351.4740	21.6932	294.3110	35.4697
P04049	318.1417	6.2257	294.7255	17.1904
P08581	290.4797	12.5659	263.0163	14.8974
Q13705	289.8814	21.5625	259.7299	8.5890
P42336	288.2349	25.3633	244.4733	18.3983
Q5S007	280.5065	14.9115	230.7713	34.8238
Q02763	276.7408	11.7456	249.8945	15.1007
Q16620	255.1253	18.9681	214.0080	22.1492
P16234	245.0680	17.9912	214.0319	13.0448
P31751	239.7480	-0.3718	227.2399	12.8799
P35968	234.2809	7.3055	203.9255	23.0498
P08069	212.1834	37.5933	150.2505	24.3396
P07333	202.9936	18.9577	167.9235	16.1124
P51812	198.0797	19.0949	179.4647	-0.4799
O00238	185.7142	27.0735	145.0409	13.5998
O60674	185.6741	1.3580	176.5705	7.7456
P43403	182.0098	1.7204	166.4302	13.8592
P15056	179.9772	6.9644	165.5437	7.4691
Q13315	176.0858	5.5106	170.1002	0.4750
P29317	173.4897	9.9263	152.4016	11.1618
Q16832	167.3364	12.0890	143.1805	12.0668
Q9NZJ5	153.8508	-4.1453	154.5703	3.4258
P35916	149.9441	12.1282	123.3316	14.4843
Q01974	142.9728	11.3658	125.9747	5.6323
P29323	141.0402	8.2979	117.6778	15.0646
P05129	140.3896	-3.3109	130.4106	13.2899
P20594	131.4619	31.3782	94.3804	5.7033
Q13233	129.6710	2.2742	126.8676	0.5292
O96017	121.8258	3.6992	121.8679	-3.7414
O76039	119.2635	3.6714	98.1451	17.4469
Q9UM73	114.8855	12.6883	93.9340	8.2632
P15735	113.3138	-0.9272	101.5344	12.7066
Q9NWZ3	104.3653	-0.6754	95.5396	9.5011
O15146	94.7919	11.7456	73.0625	9.9839
P11802	89.6848	-3.3323	85.5918	7.4253
Q15418	81.3916	19.3862	66.9072	-4.9018
P33981	80.2017	0.0915	84.5214	-4.4112
Q9BXM7	79.3850	2.3358	63.6226	13.4265
O75914	77.9208	5.5134	72.4960	-0.0886
Q08881	76.6036	2.7263	72.9930	0.8843
P07947	76.2325	2.2419	72.6694	1.3212
P41279	75.9177	3.9864	71.0471	0.8843
Q16671	74.1576	23.8368	43.9958	6.3250
O43283	72.5948	7.5104	63.9603	1.1241
O00506	70.1546	8.3524	60.0972	1.7050
Q9Y243	68.2109	-0.3718	66.8771	1.7055
Q12866	68.1354	11.7456	50.8815	5.5083
Q16816	65.6870	-0.9272	53.9076	12.7066
P19784	64.8884	0.5445	62.8782	1.4657
Q86SG6	63.8916	0.6342	69.2842	-6.0269
P48730	63.3619	3.5803	55.2737	4.5079
P54753	63.1576	9.3578	42.3920	11.4079
Q99759	61.6187	5.2960	55.4384	0.8843
P46734	57.1326	3.7585	54.2090	-0.8349
Q02846	52.3754	12.1774	19.6382	20.5598
P51841	52.3754	12.1774	19.6382	20.5598
Q6ZN16	50.9268	5.0047	46.0107	-0.0886
P54760	49.7221	9.9263	33.4708	6.3250
Q15759	47.3129	-55.6583	103.4511	-0.4799
Q15835	45.4803	-6.2720	37.1950	14.5572
O60566	45.2001	-0.3718	32.8065	12.7653
Q99570	43.3948	-0.3718	100.3213	-56.5548
Q8NI60	42.8906	-0.6631	42.3644	1.1892
Q99558	42.7359	4.2495	37.6021	0.8843
Q56UN5	42.1340	3.9987	38.2239	-0.0886
Q13535	41.5974	-9.7662	66.9548	-15.5912
P20794	40.6820	-7.3747	58.9560	-10.8993
Q01973	39.8796	11.3658	15.2658	13.2480
Q9H5K3	35.4072	0.0913	31.6837	3.6322
P51451	34.8555	1.4291	30.5476	2.8788
P57078	30.3179	-0.3718	29.5656	1.1241
Q96J92	30.2278	-6.5214	33.0683	3.6808
Q9H1R3	28.9834	-7.3818	37.8900	-1.5248
P42679	28.9834	1.7204	25.1660	2.0970
Q9NQU5	27.0594	3.4997	23.0668	0.4928
Q15120	26.3881	-1.7933	26.7188	1.4626
O94804	26.1606	5.2728	18.9467	1.9411
P25092	24.9245	10.1474	9.7419	5.0352
Q5JZY3	20.6403	8.5751	5.0853	6.9799
Q9H2G2	20.0542	7.3464	13.3824	-0.6747
Q6P5Z2	18.6301	-3.2590	17.9789	3.9101
O95747	17.0423	3.4874	14.2296	-0.6747
Q9H792	16.1867	1.7204	24.2739	-9.8076
Q9UF33	15.9600	9.6350	0.0000	6.3250
Q8IZE3	14.4778	0.3238	11.5234	2.6307
O43781	13.7643	-0.5034	13.4199	0.8478
Q13976	13.3228	-5.9494	14.7969	4.4753
Q9UPE1	13.2501	-0.3718	13.6219	0.0000
Q8N5S9	12.7750	-2.4074	13.7168	1.4657
Q9NRH2	11.7226	-0.9667	11.8415	0.8478
Q96S38	11.0070	7.5863	2.5753	0.8454
Q38SD2	10.7185	6.8745	3.9327	-0.0886
Q9UPZ9	10.5082	-2.2144	11.2569	1.4657
O00311	10.4019	0.6342	10.6390	-0.8714
P0C263	10.2818	3.4997	6.8707	-0.0886
Q12852	9.2748	6.5044	-4.0202	6.7906
Q96PN8	8.4392	-0.9667	9.4059	0.0000
Q96D53	8.2896	-0.6955	0.0000	8.9851
Q9BYT3	8.0463	-0.6631	6.5647	2.1446
Q13237	7.6545	-3.2049	2.7152	8.1442
Q00532	7.5946	-2.2021	9.3039	0.4928
Q9H3Y6	7.4338	1.7204	5.8021	-0.0886
Q6J9G0	7.4237	1.7204	0.0000	5.7033
Q8IVT5	7.1805	0.6342	4.3184	2.2278
P51957	7.0056	4.5057	2.0071	0.4928
Q5TCY1	5.9680	-0.6631	6.7197	-0.0886
Q9UQ07	5.9295	-2.2021	8.2202	-0.0886
Q92772	5.6183	-2.2021	7.3275	0.4928
Q13188	5.2625	11.9334	-7.7815	1.1106
Q96RR4	5.2235	-3.2086	65.8199	-57.3877
Q8IY84	4.9355	-0.9667	5.9022	0.0000
Q8IZL9	4.4394	-1.9108	5.9932	0.3569
P57058	4.1745	-0.6631	4.8376	0.0000
Q96L96	3.7024	-0.6631	3.5177	0.8478
P42680	3.6167	4.7573	0.6003	-1.7408
Q9Y2H9	3.5768	-0.6754	6.9659	-2.7137
Q8WTQ7	3.5016	-6.2720	8.4337	1.3399
Q7Z695	3.3506	-0.6631	0.0000	4.0137
Q3MIX3	3.3182	-0.6955	0.0000	4.0137
Q96Q04	3.0630	-0.0710	0.1825	2.9516
P51956	2.5520	0.6342	-2.1104	4.0281
P27448	2.5071	-0.3718	0.0000	2.8788
Q9HCP0	2.2484	-0.6631	3.0001	-0.0886
Q8N752	2.2484	-0.6631	3.0001	-0.0886
Q8IVW4	1.9036	-2.2021	4.1943	-0.0886
Q86YV5	1.4291	1.4291	0.0000	0.0000
Q9NR20	1.0088	1.0975	0.0000	-0.0886
Q6ZWH5	0.9350	0.9350	0.0000	0.0000
O14976	0.7275	-0.3718	-0.2932	1.3924
Q9NY57	0.3429	0.3429	0.0000	0.0000
Q8WU08	0.3429	0.3429	0.0000	0.0000
Q86UX6	0.3429	0.3429	0.0000	0.0000
Q6P3R8	0.3429	0.3429	0.0000	0.0000
Q8N2I9	0.1210	-0.3718	0.0000	0.4928
Q8NE28	0.0913	0.0913	0.0000	0.0000
Q9C098	-0.1703	-0.6631	0.0000	0.4928
Q6XUX3	-0.2885	-0.1998	0.0000	-0.0886
Q9BVS4	-0.6631	-0.6631	0.0000	0.0000
Q9BRS2	-0.6631	-0.6631	0.0000	0.0000
Q96QS6	-0.6631	-0.6631	0.0000	0.0000
Q96QP1	-0.6631	-0.6631	0.0000	0.0000
Q8NFD2	-0.6631	-0.6631	0.0000	0.0000
Q86YV6	-0.6631	-0.6631	0.0000	0.0000
Q86TB3	-0.6631	-0.6631	0.0000	0.0000
