domain	total_counts
AGC-kinase_C-terminal	55
Alpha-type_protein_kinase	6
BUB1_N-terminal	2
C2	9
C2_PI3K-type	2
C2_tensin-type	1
CARD	1
CNH	12
CRAL-TRIO	2
CRIB	10
Cadherin	1
DH	5
DRBM	2
Death	6
Doublecortin	4
EGF-like	6
Eph_LBD	14
F5/8_type_C	2
FAT	5
FATC	5
FCH	2
FERM	6
FHA	1
FZ	3
Fibronectin_type-III	199
GS	7
Guanylate_cyclase	5
Guanylate_kinase-like	1
Histidine_kinase	5
IPT/TIG	6
IQ	6
Ig-like	223
Ig-like_C2-type	90
J	1
KA1	5
KEN	3
Kringle	2
L27	2
LDL-receptor_class_A	1
LIM_zinc-binding	4
LRRCT	3
LRRNT	1
MAM	2
MIT	4
Myosin_motor	2
OPR	5
PAS	2
PDZ	7
PH	24
PI3K-ABD	2
PI3K-RBD	2
PI3K/PI4K	7
PIK_helical	2
POLO_box	8
PX	3
Phosphatase_tensin-type	1
Protein_kinase	500
Protein_kinase;_inactive	1
Protein_kinase;_truncated	1
RAP	1
RBD	3
RGS	7
RRM	1
RWD	1
Rab-GAP_TBC	1
Rhodanese	1
Roc	2
SAM	15
SARAH	2
SH2	27
SH2;_atypical	3
SH3	31
Sema	2
Tudor	1
UBA	13
UVR	1
Ubiquitin-like	1
WH2	1
WIF	1
