#Kinase Group ID	Description
AGC	PKA, PKG and PKC kinases
CAMK	calcium/calmodulin-dependent protein kinases
CK1	casein kinase 1
CMGC	CDK, MAPK, GSK3 and CLK kinases
NEK	NEK kinases
RGC	receptor guanylate cyclases
STE	STE kinases
TKL	tyrosine protein kinase-like
TK	tyrosine protein kinase
Tyr	tyrosine protein kinase
Other	
Atypical_ADCK	ABC1 domain containing kinase
Atypical_Alpha-type	alpha kinases
Atypical_FAST	FAST activated kinases
Atypical_PDK-BCKDK	PDK/BCKDK kinases
Atypical_PI3-PI4	Phosphatidyl inositol 3’ kinase-related kinases
Atypical_RIO	RIO-type kinases
